forecast_time,ts,windSpeed10m,windDirectionFrom10m,windGustSpeed10m,uvIndex,probOfPrecipitation,feelsLikeTemp
2022-11-08 09:00:00+00:00,1667898000000.0,16.950000762939453,212,20.34000015258789,1,17,8.15999984741211
2022-11-08 12:00:00+00:00,1667908800000.0,15.640000343322754,226,18.8799991607666,1,84,8.65999984741211
2022-11-08 15:00:00+00:00,1667919600000.0,11.779999732971191,238,18.0,1,91,9.15999984741211
2022-11-08 18:00:00+00:00,1667930400000.0,13.989999771118164,235,16.979999542236328,0,54,8.649999618530273
2022-11-08 21:00:00+00:00,1667941200000.0,13.460000038146973,240,20.579999923706055,0,92,8.630000114440918
2022-11-09 00:00:00+00:00,1667952000000.0,10.90999984741211,244,15.430000305175781,0,82,9.140000343322754
2022-11-09 03:00:00+00:00,1667962800000.0,11.119999885559082,234,13.579999923706055,0,69,9.010000228881836
2022-11-09 06:00:00+00:00,1667973600000.0,8.220000267028809,253,11.390000343322754,0,92,8.539999961853027
2022-11-09 09:00:00+00:00,1667984400000.0,9.859999656677246,260,13.029999732971191,1,2,8.5600004196167
2022-11-09 12:00:00+00:00,1667995200000.0,10.770000457763672,263,13.229999542236328,1,1,9.699999809265137
2022-11-09 15:00:00+00:00,1668006000000.0,9.239999771118164,252,12.859999656677246,1,12,10.489999771118164
2022-11-09 18:00:00+00:00,1668016800000.0,7.869999885559082,241,11.34000015258789,0,0,9.729999542236328
2022-11-09 21:00:00+00:00,1668027600000.0,6.019999980926514,256,9.84000015258789,0,0,9.149999618530273
2022-11-10 00:00:00+00:00,1668038400000.0,9.739999771118164,238,12.380000114440918,0,3,9.619999885559082
2022-11-10 03:00:00+00:00,1668049200000.0,9.0600004196167,241,13.369999885559082,0,1,9.90999984741211
2022-11-10 06:00:00+00:00,1668060000000.0,10.489999771118164,235,13.220000267028809,0,5,9.640000343322754
2022-11-10 09:00:00+00:00,1668070800000.0,9.40999984741211,225,13.119999885559082,1,9,10.4399995803833
2022-11-10 12:00:00+00:00,1668081600000.0,10.609999656677246,233,13.0,1,9,10.40999984741211
2022-11-10 15:00:00+00:00,1668092400000.0,10.460000038146973,231,13.550000190734863,1,9,10.329999923706055
2022-11-10 18:00:00+00:00,1668103200000.0,8.430000305175781,210,12.180000305175781,0,25,11.579999923706055
2022-11-10 21:00:00+00:00,1668114000000.0,8.890000343322754,197,12.65999984741211,0,10,11.710000038146973
2022-11-11 00:00:00+00:00,1668124800000.0,8.829999923706055,194,13.170000076293945,0,10,11.720000267028809
2022-11-11 03:00:00+00:00,1668135600000.0,10.260000228881836,198,13.890000343322754,0,10,10.779999732971191
2022-11-11 06:00:00+00:00,1668146400000.0,12.270000457763672,200,15.010000228881836,0,10,9.779999732971191
2022-11-11 09:00:00+00:00,1668157200000.0,11.199999809265137,201,13.4399995803833,1,9,9.970000267028809
2022-11-11 12:00:00+00:00,1668168000000.0,8.970000267028809,203,11.470000267028809,1,8,11.09000015258789
2022-11-11 15:00:00+00:00,1668178800000.0,7.489999771118164,190,8.989999771118164,1,1,11.210000038146973
2022-11-11 18:00:00+00:00,1668189600000.0,5.190000057220459,154,6.230000019073486,0,4,10.050000190734863
2022-11-11 21:00:00+00:00,1668200400000.0,2.9100000858306885,161,6.690000057220459,0,4,9.210000038146973
2022-11-12 00:00:00+00:00,1668211200000.0,3.4600000381469727,157,5.769999980926514,0,7,8.5600004196167
2022-11-12 03:00:00+00:00,1668222000000.0,5.449999809265137,202,6.539999961853027,0,5,10.579999923706055
2022-11-12 06:00:00+00:00,1668232800000.0,5.5,129,6.599999904632568,0,4,9.619999885559082
2022-11-12 09:00:00+00:00,1668243600000.0,3.3399999141693115,110,6.170000076293945,1,4,11.390000343322754
2022-11-12 12:00:00+00:00,1668254400000.0,5.760000228881836,124,7.71999979019165,1,0,13.869999885559082
2022-11-12 15:00:00+00:00,1668265200000.0,4.940000057220459,108,9.260000228881836,1,0,13.449999809265137
2022-11-12 18:00:00+00:00,1668276000000.0,6.070000171661377,100,10.289999961853027,0,0,11.670000076293945
2022-11-12 21:00:00+00:00,1668286800000.0,5.760000228881836,91,8.229999542236328,0,1,11.59000015258789
2022-11-13 00:00:00+00:00,1668297600000.0,3.190000057220459,117,8.229999542236328,0,1,11.640000343322754
2022-11-13 03:00:00+00:00,1668308400000.0,2.4200000762939453,106,6.170000076293945,0,17,11.880000114440918
2022-11-13 06:00:00+00:00,1668319200000.0,4.119999885559082,102,8.75,0,17,10.09000015258789
2022-11-13 09:00:00+00:00,1668330000000.0,4.579999923706055,106,8.229999542236328,1,14,10.130000114440918
2022-11-13 12:00:00+00:00,1668340800000.0,5.139999866485596,96,7.71999979019165,1,1,11.869999885559082
2022-11-13 15:00:00+00:00,1668351600000.0,5.400000095367432,110,8.229999542236328,1,0,12.9399995803833
2022-11-13 18:00:00+00:00,1668362400000.0,3.5999999046325684,87,8.229999542236328,0,0,11.550000190734863
2022-11-13 21:00:00+00:00,1668373200000.0,4.170000076293945,100,6.690000057220459,0,4,10.079999923706055
2022-11-14 00:00:00+00:00,1668384000000.0,5.789999961853027,147,6.949999809265137,0,3,9.220000267028809
2022-11-14 03:00:00+00:00,1668394800000.0,2.059999942779541,105,4.119999885559082,0,19,11.710000038146973
2022-11-14 06:00:00+00:00,1668405600000.0,2.4200000762939453,120,6.170000076293945,0,19,11.979999542236328
2022-11-14 09:00:00+00:00,1668416400000.0,2.5299999713897705,173,5.659999847412109,1,16,13.670000076293945
